address,stutia,stuatom,stuosmo
stride10ahu3nzhaj5kjck0lw7w0f55y6qvr0yr4p84l7,2979999,0,0
stride10akusku6e0qhpqmmk2dye8gzwva7nv3nu9thgk,0,555276,907488
stride10alz5m54krwr73ka3qhhu654np24njh78t6gfd,59979999,0,0
stride10amg5nyee9kvtav8jdwxygflhdezs9m3ksm7wr,0,280364,0
stride10aq6twjknmh6epq2sr8xefddcdc4j7mew09fcu,0,999390,0
stride10atteymhtpf6ehxpfvkaz77t4adfq9kdnsl77l,0,0,59411363
stride10atv4w7uh4v5dvy5sxp0nfcnes5vsuct03p3a7,0,3104572,0
stride10atyyxcjgfxp0p5tpktuhxxlg0hk4mju6m8jcr,0,239177,0
stride10audlm0h943e9a8cyhy9xnz42f5tj0f3arl09a,0,982422,0
stride10ay75d3wjqdgmx7rafdwrjrvddnltmdtuy4u97,0,0,150755
stride10ayaypygpvltygpgfkaspnet9xwxq6zmn5dwhw,0,193021,0
stride10c0j269xp84zpmzhnjr277f2jtzprrl5xqdme0,0,393268,0
stride10c2ayqcmj43rssyny2qzf33acmdvwrfl3qwmla,0,793037,0
stride10c3r27nekd9w7s3swwg3t9sf5hzrvqjfqeepsg,9999999,0,0
stride10c4kq2997yqh2dfp7h7wjzmrr3mrx96a9475ud,0,7206964,12427970
stride10c682shj59tnyjwrnmdyhkqc6guser63nkpmh7,0,0,129164
stride10c6mjhfslke8jgfglmc2xp2nesjslgr3tnqamc,0,3242760,0
stride10c6ze3m26tuf8jemu9d2szcghdwuss2sgu9upz,0,1672873,0
stride10c7dq2z3ugukuulhja2unutlk55puukvxltfqp,0,22294041,0
stride10c8lam0yfvmm3ydh8xqkeq73qrr6va0r0ly9qc,0,914326,0
stride10c9yupqmwuj60n6twqm7722557hnsll4rm8mer,1102550,0,0
stride10ca50gj2sm3e7n3mlt5dgraqgk2epzljgn8nxp,59979999,0,0
stride10ccmjqmkj76k4u7yj5p2zprqwq5srumgnwy5tn,0,0,162394
stride10ccpp95fs42f8hnae23x2ej8wkus0hztwcn363,17225709,0,0
stride10ce86fcvy6czw3xf986m9cu5ajnyhd4dwt34gp,16401150,124709,521035
stride10cekcu5rgmfxv054364z7skl90q9s6lm3038tg,0,4115715,0
stride10cetn8mfs2t90w4mc3jy30rrgdtz28nwsfhpa8,0,918775,0
stride10cexzazvlq4dkvqn4f86r4s98zuv3r4fw6p69s,0,13669490,281891
stride10ck5ry722gvcawqm45vt5wm6z838nde0hpsy8m,0,21741274,52076402
stride10ck753j4x9xst6kl0td8xux22kl0gjrxxh9567,0,9004608,0
stride10ck94eeqjd4ah0raez6vkjq2u9n0atwvn8j9hd,0,656147,0
stride10ckqgve8a6apezcp95sjqt3ch6kl9n3yycdw82,0,191472,0
stride10cmuy8sufvdsk5hzz0nqn7f07wlj5dvtcd6gva,11999999,0,0
stride10cn69n8yxj4nkuf0mrym4p725nme6dm0ht4xyg,0,172421,0
stride10cqg3u4f4qvjps5cyzd2fvwvt7ftn67r2fzwrr,0,159713,0
stride10crzrtn79xqmhdsx5ee6macfj83880thtk5jye,0,1061643,0
