address,amount,denom,usd_value
dym14fk4xquutgaarqxtruhq49mp95xu70hhc90epv,20.270305,stutia,332.63570505
dym14fq9uf3wwhs5pr80gkekj7780e450yu2qnfrqc,14.69839,stutia,241.2005799
dym14fu5wcfmsyhxstxlncyasl2l49w54qc8qv0yu9,7.93424,stutia,130.2008784
dym14ghv5rsmwa4q97pttwhs5axc6kryzkmts95d4y,9.677468,stutia,158.80724988
dym14hmlym0kktr6lh46ayrpp56v5m9d9xskp9shk7,61.17454,stutia,1003.8742014000001
dym14lshfnrshdxae4n9557m2ua30lsv4zkkawkrkn,39.131108,stutia,642.14148228
dym14n9n44nenvkhcymvy5adkyryuwn0uc3hdm77z0,564.543533,stutia,9264.15937653
dym14nr3tjcc30h48ru82c4hg855de499u0ps0fxud,283.0,stadym,1941.6347
dym14ragveyk0w0x06mpn943vn7k2f2uhqgk08qtv8,116.058302,stutia,1904.51673582
dym14sc7ppr5g3nddas826fugptnf2fxyydwfd586p,216.784264,stutia,3557.42977224
dym14x0ucm5nyhmgndmfcr4hme859em724dw5g6c52,12.204112,stutia,200.26947792
dym14x622yy96vesgu9y084zyqfplnja0p53y8xmdl,24.455775,stutia,401.31926775
dym152je8mdkt6e5fxt5v8aq7w8raswlp9fw2l7mql,22.177645,stutia,363.93515444999997
dym153y8xyk2xnlvtpwcnvk378czffhs0tz4x5x9xd,108.533992,stutia,1781.04280872
dym154qevxrvw59fs2u48aj7t0wecy95mflg09j057,62.16626,stutia,1020.1483266
dym154qevxrvw59fs2u48aj7t0wecy95mflg09j057,52.41625,stutia,860.1506625
dym155djdschy3rkkfdg5pr5rush5evv2cl0dap0ax,7.895898,stutia,129.57168618
dym155sct69cfwhns90txddhwuzkfnqfhv3rxyalv5,131.168916,stutia,2152.48191156
dym157rv0zkcnp4fhfxnl9wle0muu27cxd6kv6j3fm,19.277109,stutia,316.33735869
dym1580was7ut70j7pn3pupgd9adl9e44ahjsc2c2g,9.7109,stutia,159.355869
dym159uvzhwe24fa5kmecxaqhhskt8azuakgppjp20,10.383719,stutia,170.39682879
dym15a26r5uzrmdsxg3gdzqk0aehjakfue5f2nccn8,16.233769,stutia,266.39614929
dym15ajhs433aqa35tmpqtce9ffk60pvr9pyc4r4jf,20.433994,stutia,335.32184154
dym15avagw76lntg5v87u83cl26w7wy50p76z8q50s,58.212854,stutia,955.27293414
dym15f3gc67hwnnmdaz9jc6wq9neyh64xs20t2048g,33.072025,stutia,542.7119302499999
dym15fq5652al4usxnvq3ldaapfutjejyktvwg5qys,6.282646,stutia,103.09822086
dym15gkj5amsszswmevpch2rzuw2fgrfmlqdr0k90v,96.370299,stutia,1581.43660659
dym15h5pcczknyp3k3gthfgk7x8tnvc6252h32gmh5,8.799025,stutia,144.39200025
dym15j9gd8x3egawr6pr2zw0c588t9dr56ktcx2743,8.518523,stutia,139.78896243
dym15kgumx5zka9h25ekauadkqcweawd86g99gflyh,15.027803,stutia,246.60624723
dym15lkzjdjfxxu69qcq7t05yd9jsev50apdk4wuqj,8.464858,stutia,138.90831978
dym15mm7f7fajsdqlef64ld59p7sl3y6jfjjmks6an,81.589067,stutia,1338.87658947
dym15n6a6lsrgzwtxndfqat29vy56lz0cp3fqxg8hv,42.910896,stutia,704.16780336
dym15nwezdvtk5yn9n93ghw6k7fj9c5l8eswmcy2cy,61.431949,stutia,1008.0982830900001
dym15pum3hpg3juysula065pasngttmtv8f0rtp80f,9.466118,stutia,155.33899638
dym15t0axmvjl54taapxdqehjmt62608djmjxxwjt9,208.841931,stutia,3427.0960877099997
dym15tjpjqqs5yr949l057xafagcxlrxhjkpk057uv,19.236982,stutia,315.67887462000004
dym15tkvllmmnflqzyrhde3da9jyd8k320yrftml3w,56.907187,stutia,933.84693867
