,stutia,sttia,strd
stride173qczjnsjfpwk6suu8xdjmqrkrmcccfj7n3vz5,7000000,7.0,3.370050524217271
stride174w2qlrnkr0ldel98alyzk83aevee2kctdrlqc,1480000,1.48,0.7125249679773659
stride17679750yrlt3390459rcj0ww39z38szjemrtgg,2180000,2.18,1.049530020399093
stride1774ydury9wqw872r9f8lrjj3srec8e2r55enlv,1000000,1.0,0.4814357891738959
stride1779aq42y3pmhl0gmcgdsp0wj0lklx9an6qlfrs,7000000,7.0,3.370050524217271
stride1788wy0f2dgxfn47tac2rkr279n2u2ygl0anczd,1980000,1.98,0.9532428625643138
stride17a29c5nszpttcfd5dufu00yu9zvsgu6eayy5du,800000,0.8,0.38514863133911664
stride17at6m833e744me8c72sql3clhd4d94s7krfgk2,2480000,2.48,1.1939607571512618
stride17c73lgnw0ste3dlwjgyr632rhjxa9zvshrpcn6,10011146,10.011146,4.819723975045091
stride17ckezmmfs3sedm2zrnadqwydhd4vllun0h0ehu,4200000,4.2,2.0220303145303626
stride17du8wnzlxk3xjdhckfllvx7uav455r4j3pcplw,681105140,681.10514,327.90839058629683
stride17fdlf3clghxz20nvv57aulnn5utxfetgu8s6ns,1231530,1.23153,0.592902617441328
stride17hjxr6rm7uav44cf238qmce4gy7ydln0hqsga0,11480000,11.48,5.526882859716324
stride17hy8zm58qlf3t9xvrtp9ncf8xun06dfgudsegg,2272730,2.27273,1.0941735611291883
stride17m8j3hc0w9lkm988s527qdnujyye45tac2snnq,99980000,99.98,48.13395020160611
stride17mrgglu45tkat9vgytlvtelqhtesr638vvpp9a,480000,0.48,0.23108917880347
stride17mv5qj4kvwt6csc7uprthmn68ehqe305d3cznt,342830,0.34283,0.16505063160248673
stride17nun6cg7a5xtu9fz2p8scxr7u9jmrf5v0lrzrq,13500000,13.5,6.499383153847594
stride17punjx8pysjjzy7awfuw5nwepu9rvsh8hwxu85,1160000,1.16,0.5584655154417192
stride17sj3hjhqe4vujdxq8u39cz0ng3wgkhu4t4cnn4,2500000,2.5,1.2035894729347396
stride17uv5ccjh6c45n06aa7kr6ealt37r4jr48ed73d,1280000,1.28,0.6162378101425867
stride17vjk6rvktp34f37zksjf9dftvmp9ajl8wg57u9,1380000,1.38,0.6643813890599762
stride17vyaj4vg0s9q9q7tw5xqnljc0y08wgx73as5g6,2098330,2.09833,1.0102111594972607
stride17x3kxlj4s08csmjfnhg6hj4mvq7f52fc4dkg7t,2870000,2.87,1.381720714929081
stride17xwya44yg7xlf6gl55craxjtqrh39ue93vea5p,1500000,1.5,0.7221536837608438
stride17yw7f32v48zwgn4fzzzn7nc0at5emrdzvx4pld,1675970,1.67597,0.8068719395817742
stride17zrp5lrv73z6qcj0px30hsxlru66mmkmmktck0,11000000,11.0,5.295793680912855
stride180y9adcp9frmk4kcygka73vvcqtkqhj7kyg0dp,189980000,189.98,91.46317122725672
stride182x97quc7ygz2a5j8wmtj9vvuaezr28wlu79n9,4000000,4.0,1.9257431566955836
stride183xh7f4umya7prz7v90z7lzq6g48wgeunvx6cx,10000000,10.0,4.8143578917389585
stride1859xcatnsgtz96sz7n37njady85ewtl2fx0f4j,4880000,4.88,2.349406651168612
stride187puuef0cvwcuu0pxta7p6vlalkmd0qvygu8kn,10080000,10.08,4.8528727548728705
stride188sxst5tpvlp2hrheul9r2q87f0ggevuhff4ne,500000,0.5,0.24071789458694795
stride188z564al6h6t2kehuzcjtktfc7xe4txq2kgj9y,980000,0.98,0.4718070733904179
stride189yqr90wwuq6qcklsl0d7cq28apw0rlt9z4wtm,2100000,2.1,1.0110151572651813
stride18ckjkml8aed9glnmt4lgstv45x084s985g8v7a,600000,0.6,0.2888614735043375
stride18d9akv970e95knt2ucp4y7my2xt2pgqpe5vjgh,27878580,27.87858,13.421746163347589
stride18ddrjrhctgt2lzvgtfyfxrcecfec5eflqw0nr4,29980000,29.98,14.433444959433398
stride18esdx9sf8n44dw97n3htyrjw6jnqmkzup4lenw,1280000,1.28,0.6162378101425867
